Dataset,Loss,Accuracy,Precision,Recall,F1 Score
Train,0.7669340906604644,0.8157258064516129,0.8151098848912127,0.8157258064516129,0.814807812137852
Validation,1.1638552168684622,0.6419354838709678,0.667944452907796,0.6419354838709678,0.6409225095179749
