,precision,recall,f1-score,support
cheating_copying,0.6,0.75,0.6666666666666666,32.0
cheating_gesture,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0
cheating_mobile,0.7307692307692307,0.8260869565217391,0.7755102040816326,23.0
cheating_notes,0.75,0.5,0.6,18.0
normal,0.7297297297297297,0.7105263157894737,0.72,38.0
accuracy,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096
macro avg,0.6732109032109033,0.6342457313853196,0.6433444650587508,124.0
weighted avg,0.6811261633842278,0.6774193548387096,0.6712835398088854,124.0
